en
S,en,Ukraine,ru,Р Р€Р С”РЎР‚Р В°Р С‘Р Р…Р В°,ru,Р Р€Р С”РЎР‚Р В°РЎвЂ”Р Р…Р В°
T,en,Ostrozhets',ru,Р С›РЎРѓРЎвЂљРЎР‚Р С•Р В¶Р ВµРЎвЂ РЎРЉ,ua,Р С›РЎРѓРЎвЂљРЎР‚Р С•Р В¶Р ВµРЎвЂ РЎРЉ
T,en,Pevzha,ru,Р СџР ВµР Р†Р В¶Р В°,ua,Р СџР ВµР Р†Р В¶Р В°
T,en,Peremilivka,ru,Р СџР ВµРЎР‚Р ВµР С?Р С‘Р В»iР Р†Р С”Р В°,ua,Р СџР ВµРЎР‚Р ВµР С?Р С‘Р В»iР Р†Р С”Р В°
T,en,Pidbrusin',ru,Р СџiР Т‘Р В±РЎР‚РЎС“РЎРѓР С‘Р Р…РЎРЉ,ua,Р СџiР Т‘Р В±РЎР‚РЎС“РЎРѓР С‘Р Р…РЎРЉ
T,en,Pidgajtsi,ru,Р СџiР Т‘Р С–Р В°Р в„–РЎвЂ i,ua,Р СџiР Т‘Р С–Р В°Р в„–РЎвЂ i
T,en,Pidloztsi,ru,Р СџiР Т‘Р В»Р С•Р В·РЎвЂ i,ua,Р СџiР Т‘Р В»Р С•Р В·РЎвЂ i
T,en,Pitushkiv,ru,Р СџiРЎвЂљРЎС“РЎв‚¬Р С”iР Р†,ua,Р СџiРЎвЂљРЎС“РЎв‚¬Р С”iР Р†
T,en,Posnikiv,ru,Р СџР С•РЎРѓР Р…Р С‘Р С”iР Р†,ua,Р СџР С•РЎРѓР Р…Р С‘Р С”iР Р†
T,en,Privitne,ru,Р СџРЎР‚Р С‘Р Р†iРЎвЂљР Р…Р Вµ,ua,Р СџРЎР‚Р С‘Р Р†iРЎвЂљР Р…Р Вµ
T,en,Pugachivka,ru,Р СџРЎС“Р С–Р В°РЎвЂЎiР Р†Р С”Р В°,ua,Р СџРЎС“Р С–Р В°РЎвЂЎiР Р†Р С”Р В°
T,en,Radiv,ru,Р В Р В°Р Т‘iР Р†,ua,Р В Р В°Р Т‘iР Р†
T,en,Radjans'ke,ru,Р В Р В°Р Т‘РЎРЏР Р…РЎРѓРЎРЉР С”Р Вµ,ua,Р В Р В°Р Т‘РЎРЏР Р…РЎРѓРЎРЉР С”Р Вµ
T,en,Smordva,ru,Р РЋР С?Р С•РЎР‚Р Т‘Р Р†Р В°,ua,Р РЋР С?Р С•РЎР‚Р Т‘Р Р†Р В°
T,en,Torgovitsja,ru,Р СћР С•РЎР‚Р С–Р С•Р Р†Р С‘РЎвЂ РЎРЏ,ua,Р СћР С•РЎР‚Р С–Р С•Р Р†Р С‘РЎвЂ РЎРЏ
T,en,Uzhinets',ru,Р Р€Р В¶Р С‘Р Р…Р ВµРЎвЂ РЎРЉ,ua,Р Р€Р В¶Р С‘Р Р…Р ВµРЎвЂ РЎРЉ
T,en,Horupan',ru,Р ТђР С•РЎР‚РЎС“Р С—Р В°Р Р…РЎРЉ,ua,Р ТђР С•РЎР‚РЎС“Р С—Р В°Р Р…РЎРЉ
T,en,JAroslavichi,ru,Р Р‡РЎР‚Р С•РЎРѓР В»Р В°Р Р†Р С‘РЎвЂЎi,ua,Р Р‡РЎР‚Р С•РЎРѓР В»Р В°Р Р†Р С‘РЎвЂЎi
T,en,Bolotkivtsi,ru,Р вЂ?Р С•Р В»Р С•РЎвЂљР С”iР Р†РЎвЂ i,ua,Р вЂ?Р С•Р В»Р С•РЎвЂљР С”iР Р†РЎвЂ i
T,en,Brodivs'ke,ru,Р вЂ?РЎР‚Р С•Р Т‘iР Р†РЎРѓРЎРЉР С”Р Вµ,ua,Р вЂ?РЎР‚Р С•Р Т‘iР Р†РЎРѓРЎРЉР С”Р Вµ
T,en,Buhariv,ru,Р вЂ?РЎС“РЎвЂ¦Р В°РЎР‚iР Р†,ua,Р вЂ?РЎС“РЎвЂ¦Р В°РЎР‚iР Р†
T,en,Verhiv,ru,Р вЂ™Р ВµРЎР‚РЎвЂ¦iР Р†,ua,Р вЂ™Р ВµРЎР‚РЎвЂ¦iР Р†
T,en,Vilija,ru,Р вЂ™iР В»iРЎРЏ,ua,Р вЂ™iР В»iРЎРЏ
T,en,Vil'bivne,ru,Р вЂ™iР В»РЎРЉР В±iР Р†Р Р…Р Вµ,ua,Р вЂ™iР В»РЎРЉР В±iР Р†Р Р…Р Вµ
T,en,Grem'jache,ru,Р вЂњРЎР‚Р ВµР С?'РЎРЏРЎвЂЎР Вµ,ua,Р вЂњРЎР‚Р ВµР С?'РЎРЏРЎвЂЎР Вµ
T,en,Groziv,ru,Р вЂњРЎР‚Р С•Р В·iР Р†,ua,Р вЂњРЎР‚Р С•Р В·iР Р†
T,en,Krayiv,ru,Р С™РЎР‚Р В°РЎвЂ”Р Р†,ua,Р С™РЎР‚Р В°РЎвЂ”Р Р†
T,en,Kutjanka,ru,Р С™РЎС“РЎвЂљРЎРЏР Р…Р С”Р В°,ua,Р С™РЎС“РЎвЂљРЎРЏР Р…Р С”Р В°
T,en,Ljuchin,ru,Р вЂєРЎР‹РЎвЂЎР С‘Р Р…,ua,Р вЂєРЎР‹РЎвЂЎР С‘Р Р…
T,en,Mezhirich,ru,Р СљР ВµР В¶Р С‘РЎР‚iРЎвЂЎ,ua,Р СљР ВµР В¶Р С‘РЎР‚iРЎвЂЎ
T,en,Miljatin,ru,Р СљР С‘Р В»РЎРЏРЎвЂљР С‘Р Р…,ua,Р СљР С‘Р В»РЎРЏРЎвЂљР С‘Р Р…
T,en,Mogiljani,ru,Р СљР С•Р С–Р С‘Р В»РЎРЏР Р…Р С‘,ua,Р СљР С•Р С–Р С‘Р В»РЎРЏР Р…Р С‘
T,en,Moschanitsja,ru,Р СљР С•РЎвЂ°Р В°Р Р…Р С‘РЎвЂ РЎРЏ,ua,Р СљР С•РЎвЂ°Р В°Р Р…Р С‘РЎвЂ РЎРЏ
T,en,Novomalin,ru,Р СњР С•Р Р†Р С•Р С?Р В°Р В»Р С‘Р Р…,ua,Р СњР С•Р Р†Р С•Р С?Р В°Р В»Р С‘Р Р…
T,en,Novorodchitsi,ru,Р СњР С•Р Р†Р С•РЎР‚Р С•Р Т‘РЎвЂЎР С‘РЎвЂ i,ua,Р СњР С•Р Р†Р С•РЎР‚Р С•Р Т‘РЎвЂЎР С‘РЎвЂ i
T,en,Ozhenin,ru,Р С›Р В¶Р ВµР Р…Р С‘Р Р…,ua,Р С›Р В¶Р ВµР Р…Р С‘Р Р…
T,en,Ostrog,ru,Р С›РЎРѓРЎвЂљРЎР‚Р С•Р С–,ua,Р С›РЎРѓРЎвЂљРЎР‚Р С•Р С–
T,en,Ploske,ru,Р СџР В»Р С•РЎРѓР С”Р Вµ,ua,Р СџР В»Р С•РЎРѓР С”Р Вµ
T,en,Pochapki,ru,Р СџР С•РЎвЂЎР В°Р С—Р С”Р С‘,ua,Р СџР С•РЎвЂЎР В°Р С—Р С”Р С‘
T,en,Rozvazh,ru,Р В Р С•Р В·Р Р†Р В°Р В¶,ua,Р В Р С•Р В·Р Р†Р В°Р В¶
T,en,Sijantsi,ru,Р РЋiРЎРЏР Р…РЎвЂ i,ua,Р РЋiРЎРЏР Р…РЎвЂ i
T,en,Stadniki,ru,Р РЋРЎвЂљР В°Р Т‘Р Р…Р С‘Р С”Р С‘,ua,Р РЋРЎвЂљР В°Р Т‘Р Р…Р С‘Р С”Р С‘
T,en,Tesiv,ru,Р СћР ВµРЎРѓiР Р†,ua,Р СћР ВµРЎРѓiР Р†
T,en,Ukrayinka,ru,Р Р€Р С”РЎР‚Р В°РЎвЂ”Р Р…Р С”Р В°,ua,Р Р€Р С”РЎР‚Р В°РЎвЂ”Р Р…Р С”Р В°
T,en,Horiv,ru,Р ТђР С•РЎР‚iР Р†,ua,Р ТђР С•РЎР‚iР Р†
T,en,Bat'kiv,ru,Р вЂ?Р В°РЎвЂљРЎРЉР С”iР Р†,ua,Р вЂ?Р В°РЎвЂљРЎРЉР С”iР Р†
T,en,Basharivka,ru,Р вЂ?Р В°РЎв‚¬Р В°РЎР‚iР Р†Р С”Р В°,ua,Р вЂ?Р В°РЎв‚¬Р В°РЎР‚iР Р†Р С”Р В°
T,en,Berezini,ru,Р вЂ?Р ВµРЎР‚Р ВµР В·Р С‘Р Р…Р С‘,ua,Р вЂ?Р ВµРЎР‚Р ВµР В·Р С‘Р Р…Р С‘
T,en,Boratin,ru,Р вЂ?Р С•РЎР‚Р В°РЎвЂљР С‘Р Р…,ua,Р вЂ?Р С•РЎР‚Р В°РЎвЂљР С‘Р Р…
T,en,Brigadirivka,ru,Р вЂ?РЎР‚Р С‘Р С–Р В°Р Т‘Р С‘РЎР‚iР Р†Р С”Р В°,ua,Р вЂ?РЎР‚Р С‘Р С–Р В°Р Т‘Р С‘РЎР‚iР Р†Р С”Р В°
T,en,Bugayivka,ru,Р вЂ?РЎС“Р С–Р В°РЎвЂ”Р Р†Р С”Р В°,ua,Р вЂ?РЎС“Р С–Р В°РЎвЂ”Р Р†Р С”Р В°
T,en,Granivka,ru,Р вЂњРЎР‚Р В°Р Р…iР Р†Р С”Р В°,ua,Р вЂњРЎР‚Р В°Р Р…iР Р†Р С”Р В°
T,en,Dobrivoda,ru,Р вЂќР С•Р В±РЎР‚Р С‘Р Р†Р С•Р Т‘Р В°,ua,Р вЂќР С•Р В±РЎР‚Р С‘Р Р†Р С•Р Т‘Р В°
T,en,Druzhba,ru,Р вЂќРЎР‚РЎС“Р В¶Р В±Р В°,ua,Р вЂќРЎР‚РЎС“Р В¶Р В±Р В°
T,en,Zhovtneve,ru,Р вЂ“Р С•Р Р†РЎвЂљР Р…Р ВµР Р†Р Вµ,ua,Р вЂ“Р С•Р Р†РЎвЂљР Р…Р ВµР Р†Р Вµ
T,en,Ivaschuki,ru,IР Р†Р В°РЎвЂ°РЎС“Р С”Р С‘,ua,IР Р†Р В°РЎвЂ°РЎС“Р С”Р С‘
T,en,Kozin,ru,Р С™Р С•Р В·Р С‘Р Р…,ua,Р С™Р С•Р В·Р С‘Р Р…
T,en,Kopani,ru,Р С™Р С•Р С—Р В°Р Р…i,ua,Р С™Р С•Р С—Р В°Р Р…i
T,en,Koritne,ru,Р С™Р С•РЎР‚Р С‘РЎвЂљР Р…Р Вµ,ua,Р С™Р С•РЎР‚Р С‘РЎвЂљР Р…Р Вµ
T,en,Krupets',ru,Р С™РЎР‚РЎС“Р С—Р ВµРЎвЂ РЎРЉ,ua,Р С™РЎР‚РЎС“Р С—Р ВµРЎвЂ РЎРЉ
T,en,Mitnitsja,ru,Р СљР С‘РЎвЂљР Р…Р С‘РЎвЂ РЎРЏ,ua,Р СљР С‘РЎвЂљР Р…Р С‘РЎвЂ РЎРЏ
T,en,Mihajlivka,ru,Р СљР С‘РЎвЂ¦Р В°Р в„–Р В»iР Р†Р С”Р В°,ua,Р СљР С‘РЎвЂ¦Р В°Р в„–Р В»iР Р†Р С”Р В°
T,en,Nemirivka,ru,Р СњР ВµР С?Р С‘РЎР‚iР Р†Р С”Р В°,ua,Р СњР ВµР С?Р С‘РЎР‚iР Р†Р С”Р В°
T,en,Oparipsi,ru,Р С›Р С—Р В°РЎР‚Р С‘Р С—РЎРѓР С‘,ua,Р С›Р С—Р В°РЎР‚Р С‘Р С—РЎРѓР С‘
T,en,Perenjatin,ru,Р СџР ВµРЎР‚Р ВµР Р…РЎРЏРЎвЂљР С‘Р Р…,ua,Р СџР ВµРЎР‚Р ВµР Р…РЎРЏРЎвЂљР С‘Р Р…
T,en,Pidzamche,ru,Р СџiР Т‘Р В·Р В°Р С?РЎвЂЎР Вµ,ua,Р СџiР Т‘Р В·Р В°Р С?РЎвЂЎР Вµ
T,en,Pljasheva,ru,Р СџР В»РЎРЏРЎв‚¬Р ВµР Р†Р В°,ua,Р СџР В»РЎРЏРЎв‚¬Р ВµР Р†Р В°
T,en,Pustoivanne,ru,Р СџРЎС“РЎРѓРЎвЂљР С•iР Р†Р В°Р Р…Р Р…Р Вµ,ua,Р СџРЎС“РЎРѓРЎвЂљР С•iР Р†Р В°Р Р…Р Р…Р Вµ
T,en,Radiviliv,ru,Р В Р В°Р Т‘Р С‘Р Р†Р С‘Р В»iР Р†,ua,Р В Р В°Р Т‘Р С‘Р Р†Р С‘Р В»iР Р†
T,en,Ridkiv,ru,Р В iР Т‘Р С”iР Р†,ua,Р В iР Т‘Р С”iР Р†
T,en,Sestrjatin,ru,Р РЋР ВµРЎРѓРЎвЂљРЎР‚РЎРЏРЎвЂљР С‘Р Р…,ua,Р РЋР ВµРЎРѓРЎвЂљРЎР‚РЎРЏРЎвЂљР С‘Р Р…
T,en,Sitne,ru,Р РЋР С‘РЎвЂљР Р…Р Вµ,ua,Р РЋР С‘РЎвЂљР Р…Р Вµ
T,en,Sribne,ru,Р РЋРЎР‚iР В±Р Р…Р Вµ,ua,Р РЋРЎР‚iР В±Р Р…Р Вµ
T,en,Teslugiv,ru,Р СћР ВµРЎРѓР В»РЎС“Р С–iР Р†,ua,Р СћР ВµРЎРѓР В»РЎС“Р С–iР Р†
T,en,Rivne,ru,Р В iР Р†Р Р…Р Вµ,ua,Р В iР Р†Р Р…Р Вµ
T,en,Antopil',ru,Р С’Р Р…РЎвЂљР С•Р С—iР В»РЎРЉ,ua,Р С’Р Р…РЎвЂљР С•Р С—iР В»РЎРЉ
T,en,Barmaki,ru,Р вЂ?Р В°РЎР‚Р С?Р В°Р С”Р С‘,ua,Р вЂ?Р В°РЎР‚Р С?Р В°Р С”Р С‘
T,en,Bila krinitsja,ru,Р вЂ?iР В»Р В° Р С™РЎР‚Р С‘Р Р…Р С‘РЎвЂ РЎРЏ,ua,Р вЂ?iР В»Р В° Р С™РЎР‚Р С‘Р Р…Р С‘РЎвЂ РЎРЏ
T,en,Bronniki,ru,Р вЂ?РЎР‚Р С•Р Р…Р Р…Р С‘Р С”Р С‘,ua,Р вЂ?РЎР‚Р С•Р Р…Р Р…Р С‘Р С”Р С‘
T,en,Velika omeljana,ru,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р С›Р С?Р ВµР В»РЎРЏР Р…Р В°,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р С›Р С?Р ВµР В»РЎРЏР Р…Р В°
T,en,Velikij zhitin,ru,Р вЂ™Р ВµР В»Р С‘Р С”Р С‘Р в„– Р вЂ“Р С‘РЎвЂљР С‘Р Р…,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р С‘Р в„– Р вЂ“Р С‘РЎвЂљР С‘Р Р…
T,en,Velikij oleksin,ru,Р вЂ™Р ВµР В»Р С‘Р С”Р С‘Р в„– Р С›Р В»Р ВµР С”РЎРѓР С‘Р Р…,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р С‘Р в„– Р С›Р В»Р ВµР С”РЎРѓР С‘Р Р…
T,en,Verhivs'k,ru,Р вЂ™Р ВµРЎР‚РЎвЂ¦iР Р†РЎРѓРЎРЉР С”,ua,Р вЂ™Р ВµРЎР‚РЎвЂ¦iР Р†РЎРѓРЎРЉР С”
T,en,Golishiv,ru,Р вЂњР С•Р В»Р С‘РЎв‚¬iР Р†,ua,Р вЂњР С•Р В»Р С‘РЎв‚¬iР Р†
T,en,Gorin'grad-pershij,ru,Р вЂњР С•РЎР‚Р С‘Р Р…РЎРЉР С–РЎР‚Р В°Р Т‘-Р СџР ВµРЎР‚РЎв‚¬Р С‘Р в„–,ua,Р вЂњР С•РЎР‚Р С‘Р Р…РЎРЉР С–РЎР‚Р В°Р Т‘-Р СџР ВµРЎР‚РЎв‚¬Р С‘Р в„–
T,en,Gorodok,ru,Р вЂњР С•РЎР‚Р С•Р Т‘Р С•Р С”,ua,Р вЂњР С•РЎР‚Р С•Р Т‘Р С•Р С”
T,en,Grabiv,ru,Р вЂњРЎР‚Р В°Р В±iР Р†,ua,Р вЂњРЎР‚Р В°Р В±iР Р†
T,en,Grushvitsja-druga,ru,Р вЂњРЎР‚РЎС“РЎв‚¬Р Р†Р С‘РЎвЂ РЎРЏ-Р вЂќРЎР‚РЎС“Р С–Р В°,ua,Р вЂњРЎР‚РЎС“РЎв‚¬Р Р†Р С‘РЎвЂ РЎРЏ-Р вЂќРЎР‚РЎС“Р С–Р В°
T,en,Derev'jane,ru,Р вЂќР ВµРЎР‚Р ВµР Р†'РЎРЏР Р…Р Вµ,ua,Р вЂќР ВµРЎР‚Р ВµР Р†'РЎРЏР Р…Р Вµ
T,en,Djad'kovichi,ru,Р вЂќРЎРЏР Т‘РЎРЉР С”Р С•Р Р†Р С‘РЎвЂЎi,ua,Р вЂќРЎРЏР Т‘РЎРЉР С”Р С•Р Р†Р С‘РЎвЂЎi
T,en,Zhobrin,ru,Р вЂ“Р С•Р В±РЎР‚Р С‘Р Р…,ua,Р вЂ“Р С•Р В±РЎР‚Р С‘Р Р…
T,en,Zaborol',ru,Р вЂ”Р В°Р В±Р С•РЎР‚Р С•Р В»РЎРЉ,ua,Р вЂ”Р В°Р В±Р С•РЎР‚Р С•Р В»РЎРЉ
T,en,Zagoroscha,ru,Р вЂ”Р В°Р С–Р С•РЎР‚Р С•РЎвЂ°Р В°,ua,Р вЂ”Р В°Р С–Р С•РЎР‚Р С•РЎвЂ°Р В°
T,en,Zorja,ru,Р вЂ”Р С•РЎР‚РЎРЏ,ua,Р вЂ”Р С•РЎР‚РЎРЏ
T,en,Iskra,ru,IРЎРѓР С”РЎР‚Р В°,ua,IРЎРѓР С”РЎР‚Р В°
T,en,Karpilivka,ru,Р С™Р В°РЎР‚Р С—Р С‘Р В»iР Р†Р С”Р В°,ua,Р С™Р В°РЎР‚Р С—Р С‘Р В»iР Р†Р С”Р В°
T,en,Kvasiliv,ru,Р С™Р Р†Р В°РЎРѓР С‘Р В»iР Р†,ua,Р С™Р Р†Р В°РЎРѓР С‘Р В»iР Р†
T,en,Klevan',ru,Р С™Р В»Р ВµР Р†Р В°Р Р…РЎРЉ,ua,Р С™Р В»Р ВµР Р†Р В°Р Р…РЎРЉ
T,en,Kozlin,ru,Р С™Р С•Р В·Р В»Р С‘Р Р…,ua,Р С™Р С•Р В·Р В»Р С‘Р Р…
T,en,Kolodenka,ru,Р С™Р С•Р В»Р С•Р Т‘Р ВµР Р…Р С”Р В°,ua,Р С™Р С•Р В»Р С•Р Т‘Р ВµР Р…Р С”Р В°
T,en,Kornin,ru,Р С™Р С•РЎР‚Р Р…Р С‘Р Р…,ua,Р С™Р С•РЎР‚Р Р…Р С‘Р Р…
T,en,Kotiv,ru,Р С™Р С•РЎвЂљiР Р†,ua,Р С™Р С•РЎвЂљiР Р†
T,en,Kustin,ru,Р С™РЎС“РЎРѓРЎвЂљР С‘Р Р…,ua,Р С™РЎС“РЎРѓРЎвЂљР С‘Р Р…
T,en,Makoterti,ru,Р СљР В°Р С”Р С•РЎвЂљР ВµРЎР‚РЎвЂљР С‘,ua,Р СљР В°Р С”Р С•РЎвЂљР ВµРЎР‚РЎвЂљР С‘
T,en,Malij zhitin,ru,Р СљР В°Р В»Р С‘Р в„– Р вЂ“Р С‘РЎвЂљР С‘Р Р…,ua,Р СљР В°Р В»Р С‘Р в„– Р вЂ“Р С‘РЎвЂљР С‘Р Р…
T,en,Malij oleksin,ru,Р СљР В°Р В»Р С‘Р в„– Р С›Р В»Р ВµР С”РЎРѓР С‘Р Р…,ua,Р СљР В°Р В»Р С‘Р в„– Р С›Р В»Р ВµР С”РЎРѓР С‘Р Р…
T,en,Malij shpakiv,ru,Р СљР В°Р В»Р С‘Р в„– Р РЃР С—Р В°Р С”iР Р†,ua,Р СљР В°Р В»Р С‘Р в„– Р РЃР С—Р В°Р С”iР Р†
T,en,Nova ljubomirka,ru,Р СњР С•Р Р†Р В° Р вЂєРЎР‹Р В±Р С•Р С?Р С‘РЎР‚Р С”Р В°,ua,Р СњР С•Р Р†Р В° Р вЂєРЎР‹Р В±Р С•Р С?Р С‘РЎР‚Р С”Р В°
T,en,Nova ukrayinka,ru,Р СњР С•Р Р†Р В° Р Р€Р С”РЎР‚Р В°РЎвЂ”Р Р…Р С”Р В°,ua,Р СњР С•Р Р†Р В° Р Р€Р С”РЎР‚Р В°РЎвЂ”Р Р…Р С”Р В°
T,en,Novostav,ru,Р СњР С•Р Р†Р С•РЎРѓРЎвЂљР В°Р Р†,ua,Р СњР С•Р Р†Р С•РЎРѓРЎвЂљР В°Р Р†
T,en,Obariv,ru,Р С›Р В±Р В°РЎР‚iР Р†,ua,Р С›Р В±Р В°РЎР‚iР Р†
T,en,Oleksandrija,ru,Р С›Р В»Р ВµР С”РЎРѓР В°Р Р…Р Т‘РЎР‚iРЎРЏ,ua,Р С›Р В»Р ВµР С”РЎРѓР В°Р Р…Р Т‘РЎР‚iРЎРЏ
T,en,Orzhiv,ru,Р С›РЎР‚Р В¶iР Р†,ua,Р С›РЎР‚Р В¶iР Р†
T,en,Raduhivka,ru,Р В Р В°Р Т‘РЎС“РЎвЂ¦iР Р†Р С”Р В°,ua,Р В Р В°Р Т‘РЎС“РЎвЂ¦iР Р†Р С”Р В°
T,en,Starozhukiv,ru,Р РЋРЎвЂљР В°РЎР‚Р С•Р В¶РЎС“Р С”iР Р†,ua,Р РЋРЎвЂљР В°РЎР‚Р С•Р В¶РЎС“Р С”iР Р†
T,en,Suhivtsi,ru,Р РЋРЎС“РЎвЂ¦iР Р†РЎвЂ i,ua,Р РЋРЎС“РЎвЂ¦iР Р†РЎвЂ i
T,en,Tajkuri,ru,Р СћР В°Р в„–Р С”РЎС“РЎР‚Р С‘,ua,Р СћР В°Р в„–Р С”РЎС“РЎР‚Р С‘
T,en,Shpaniv,ru,Р РЃР С—Р В°Р Р…iР Р†,ua,Р РЃР С—Р В°Р Р…iР Р†
T,en,Shubkiv,ru,Р РЃРЎС“Р В±Р С”iР Р†,ua,Р РЃРЎС“Р В±Р С”iР Р†
T,en,Berezove,ru,Р вЂ?Р ВµРЎР‚Р ВµР В·Р С•Р Р†Р Вµ,ua,Р вЂ?Р ВµРЎР‚Р ВµР В·Р С•Р Р†Р Вµ
T,en,Bilovizh,ru,Р вЂ?iР В»Р С•Р Р†iР В¶,ua,Р вЂ?iР В»Р С•Р Р†iР В¶
T,en,Bil's'k,ru,Р вЂ?iР В»РЎРЉРЎРѓРЎРЉР С”,ua,Р вЂ?iР В»РЎРЉРЎРѓРЎРЉР С”
T,en,Blazhove,ru,Р вЂ?Р В»Р В°Р В¶Р С•Р Р†Р Вµ,ua,Р вЂ?Р В»Р В°Р В¶Р С•Р Р†Р Вµ
T,en,Buda,ru,Р вЂ?РЎС“Р Т‘Р В°,ua,Р вЂ?РЎС“Р Т‘Р В°
T,en,Budki-snovidovits'ki,ru,Р вЂ?РЎС“Р Т‘Р С”Р С‘-Р РЋР Р…Р С•Р Р†Р С‘Р Т‘Р С•Р Р†Р С‘РЎвЂ РЎРЉР С”i,ua,Р вЂ?РЎС“Р Т‘Р С”Р С‘-Р РЋР Р…Р С•Р Р†Р С‘Р Т‘Р С•Р Р†Р С‘РЎвЂ РЎРЉР С”i
T,en,Vezhitsja,ru,Р вЂ™Р ВµР В¶Р С‘РЎвЂ РЎРЏ,ua,Р вЂ™Р ВµР В¶Р С‘РЎвЂ РЎРЏ
T,en,Glinne,ru,Р вЂњР В»Р С‘Р Р…Р Р…Р Вµ,ua,Р вЂњР В»Р С‘Р Р…Р Р…Р Вµ
T,en,Dert',ru,Р вЂќР ВµРЎР‚РЎвЂљРЎРЉ,ua,Р вЂќР ВµРЎР‚РЎвЂљРЎРЉ
T,en,Drozdin',ru,Р вЂќРЎР‚Р С•Р В·Р Т‘Р С‘Р Р…РЎРЉ,ua,Р вЂќРЎР‚Р С•Р В·Р Т‘Р С‘Р Р…РЎРЉ
T,en,El'ne,ru,Р вЂћР В»РЎРЉР Р…Р Вµ,ua,Р вЂћР В»РЎРЉР Р…Р Вµ
T,en,Kam'jane,ru,Р С™Р В°Р С?'РЎРЏР Р…Р Вµ,ua,Р С™Р В°Р С?'РЎРЏР Р…Р Вµ
T,en,Kisorichi,ru,Р С™Р С‘РЎРѓР С•РЎР‚Р С‘РЎвЂЎi,ua,Р С™Р С‘РЎРѓР С•РЎР‚Р С‘РЎвЂЎi
T,en,Kupel',ru,Р С™РЎС“Р С—Р ВµР В»РЎРЉ,ua,Р С™РЎС“Р С—Р ВµР В»РЎРЉ
T,en,Masevichi,ru,Р СљР В°РЎРѓР ВµР Р†Р С‘РЎвЂЎi,ua,Р СљР В°РЎРѓР ВµР Р†Р С‘РЎвЂЎi
T,en,Oleksandrivka,ru,Р С›Р В»Р ВµР С”РЎРѓР В°Р Р…Р Т‘РЎР‚iР Р†Р С”Р В°,ua,Р С›Р В»Р ВµР С”РЎРѓР В°Р Р…Р Т‘РЎР‚iР Р†Р С”Р В°
T,en,Osnits'k,ru,Р С›РЎРѓР Р…Р С‘РЎвЂ РЎРЉР С”,ua,Р С›РЎРѓР Р…Р С‘РЎвЂ РЎРЉР С”
T,en,Ostki,ru,Р С›РЎРѓРЎвЂљР С”Р С‘,ua,Р С›РЎРѓРЎвЂљР С”Р С‘
T,en,Poznan',ru,Р СџР С•Р В·Р Р…Р В°Р Р…РЎРЉ,ua,Р СџР С•Р В·Р Р…Р В°Р Р…РЎРЉ
T,en,Rokitne selo,ru,Р В Р С•Р С”Р С‘РЎвЂљР Р…Р Вµ Р РЋР ВµР В»Р С•,ua,Р В Р С•Р С”Р С‘РЎвЂљР Р…Р Вµ Р РЋР ВµР В»Р С•
T,en,Snovidovichi,ru,Р РЋР Р…Р С•Р Р†Р С‘Р Т‘Р С•Р Р†Р С‘РЎвЂЎi,ua,Р РЋР Р…Р С•Р Р†Р С‘Р Т‘Р С•Р Р†Р С‘РЎвЂЎi
T,en,Stare selo,ru,Р РЋРЎвЂљР В°РЎР‚Р Вµ Р РЋР ВµР В»Р С•,ua,Р РЋРЎвЂљР В°РЎР‚Р Вµ Р РЋР ВµР В»Р С•
T,en,Tomashgorod,ru,Р СћР С•Р С?Р В°РЎв‚¬Р С–Р С•РЎР‚Р С•Р Т‘,ua,Р СћР С•Р С?Р В°РЎв‚¬Р С–Р С•РЎР‚Р С•Р Т‘
T,en,Tomashgorod-pershij,ru,Р СћР С•Р С?Р В°РЎв‚¬Р С–Р С•РЎР‚Р С•Р Т‘-Р СџР ВµРЎР‚РЎв‚¬Р С‘Р в„–,ua,Р СћР С•Р С?Р В°РЎв‚¬Р С–Р С•РЎР‚Р С•Р Т‘-Р СџР ВµРЎР‚РЎв‚¬Р С‘Р в„–
T,en,Tomashgorod selo,ru,Р СћР С•Р С?Р В°РЎв‚¬Р С–Р С•РЎР‚Р С•Р Т‘ Р РЋР ВµР В»Р С•,ua,Р СћР С•Р С?Р В°РЎв‚¬Р С–Р С•РЎР‚Р С•Р Т‘ Р РЋР ВµР В»Р С•
T,en,Hmil',ru,Р ТђР С?iР В»РЎРЉ,ua,Р ТђР С?iР В»РЎРЉ
T,en,Butejki,ru,Р вЂ?РЎС“РЎвЂљР ВµР в„–Р С”Р С‘,ua,Р вЂ?РЎС“РЎвЂљР ВµР в„–Р С”Р С‘
T,en,Velike verbche,ru,Р вЂ™Р ВµР В»Р С‘Р С”Р Вµ Р вЂ™Р ВµРЎР‚Р В±РЎвЂЎР Вµ,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р Вµ Р вЂ™Р ВµРЎР‚Р В±РЎвЂЎР Вµ
T,en,Viri,ru,Р вЂ™Р С‘РЎР‚Р С‘,ua,Р вЂ™Р С‘РЎР‚Р С‘
T,en,Glushitsja,ru,Р вЂњР В»РЎС“РЎв‚¬Р С‘РЎвЂ РЎРЏ,ua,Р вЂњР В»РЎС“РЎв‚¬Р С‘РЎвЂ РЎРЏ
